"구분(1)",구분(2),구분(3),구분(4),2023.07,2023.08,2023.09,2023.10,2023.11,2023.12
"도시대기",대전,대덕구,읍내동,23,22,19,30,32,37
"도시대기",대전,대덕구,문평동,22,21,20,29,30,38
"도시대기",대전,중구,문창동,19,19,16,22,23,26
"도시대기",대전,유성구,상대동,18,18,18,26,26,33
"도시대기",대전,유성구,구성동,21,20,20,24,25,34
"도시대기",대전,유성구,노은동,21,20,19,26,27,36
"도시대기",대전,유성구,관평동,19,17,18,25,27,37
"도시대기",대전,동구,성남동,20,21,18,26,27,35
"도시대기",대전,동구,대성동,24,19,16,20,23,30
"도시대기",대전,서구,정림동,23,25,22,29,28,36
"도시대기",대전,서구,둔산동,26,25,23,31,32,37
"도시대기",울산,중구,성남동,25,22,20,27,28,33
"도시대기",울산,중구,약사동,33,22,17,21,23,28
"도시대기",울산,남구,부곡동,27,22,21,29,27,32
"도시대기",울산,남구,여천동,31,27,27,40,47,50
"도시대기",울산,남구,야음동,26,22,20,25,28,32
"도시대기",울산,남구,신정동,24,20,19,24,27,31
"도시대기",울산,남구,무거동,25,21,20,26,27,32
"도시대기",울산,남구,삼산동,27,22,21,28,29,34
"도시대기",울산,울주군,덕신리,25,20**,-,-,-,29**
"도시대기",울산,울주군,웅촌면,25,23,19,25,26,31
"도시대기",울산,울주군,삼남읍,23,18**,-,23**,-,35**
"도시대기",울산,울주군,화산리,33,25,21,27,30,31
"도시대기",울산,울주군,상남리,25,20,19,24,23,28
"도시대기",울산,울주군,범서읍,29,21,17,18,19,24
"도시대기",울산,북구,송정동,26,19,18,25,26,31
"도시대기",울산,북구,효문동,34,25,24,34,35,38
"도시대기",울산,북구,농소동,21,15,15,23,23,26
"도시대기",울산,동구,대송동,25,20,17,27,28,32
"도시대기",울산,동구,전하동,27,23,21,29,30,32
"도시대기",세종,세종,신흥동,24,23,21,28,27,38
"도시대기",세종,세종,아름동,23,23,21,27,28,36
"도시대기",세종,세종,한솔동,20,20,18,25,25,37
"도시대기",세종,세종,부강면,22,21,20,30,29,41
"도시대기",세종,세종,전의면,22,21,20,32,32,42
"도시대기",경기,수원,인계동,22,19,19,29,30,39
"도시대기",경기,수원,신풍동,26,22,22,29,29,32
"도시대기",경기,수원,광교동,27,22,23,32,33,37
