"일","22시-24시","7월",143,1,222
"일","22시-24시","8월",96,4,139
"일","22시-24시","9월",128,6,184
"일","22시-24시","10월",148,5,206
"일","22시-24시","11월",76,2,95
"일","22시-24시","12월",92,2,137
"월","00시-02시","전체",655,18,934
"월","00시-02시","1월",42,0,68
"월","00시-02시","2월",34,0,43
"월","00시-02시","3월",34,0,43
"월","00시-02시","4월",65,2,100
"월","00시-02시","5월",68,2,95
"월","00시-02시","6월",69,2,104
"월","00시-02시","7월",49,3,70
"월","00시-02시","8월",68,2,89
"월","00시-02시","9월",70,1,114
"월","00시-02시","10월",74,2,103
"월","00시-02시","11월",45,3,62
"월","00시-02시","12월",37,1,43
"월","02시-04시","전체",369,16,499
"월","02시-04시","1월",32,2,43
"월","02시-04시","2월",11,0,13
"월","02시-04시","3월",15,0,25
"월","02시-04시","4월",22,1,30
"월","02시-04시","5월",31,3,39
"월","02시-04시","6월",51,2,72
"월","02시-04시","7월",42,1,53
"월","02시-04시","8월",32,2,42
"월","02시-04시","9월",42,2,55
"월","02시-04시","10월",51,1,74
"월","02시-04시","11월",18,1,24
"월","02시-04시","12월",22,1,29
"월","04시-06시","전체",621,25,842
"월","04시-06시","1월",32,3,53
"월","04시-06시","2월",43,0,53
"월","04시-06시","3월",30,2,36
"월","04시-06시","4월",49,2,70
"월","04시-06시","5월",57,4,79
"월","04시-06시","6월",41,2,54
"월","04시-06시","7월",45,3,55
"월","04시-06시","8월",79,4,110
"월","04시-06시","9월",61,2,84
"월","04시-06시","10월",75,0,100
"월","04시-06시","11월",57,1,79
"월","04시-06시","12월",52,2,69
"월","06시-08시","전체",1816,43,2447
"월","06시-08시","1월",190,7,247
"월","06시-08시","2월",129,1,185
"월","06시-08시","3월",111,5,151
"월","06시-08시","4월",159,2,225
"월","06시-08시","5월",191,2,256
"월","06시-08시","6월",136,3,195
"월","06시-08시","7월",135,4,174
"월","06시-08시","8월",165,3,226
"월","06시-08시","9월",124,3,157
"월","06시-08시","10월",168,3,222
"월","06시-08시","11월",168,7,218
"월","06시-08시","12월",140,3,191
"월","08시-10시","전체",3400,36,4761
"월","08시-10시","1월",284,2,408
"월","08시-10시","2월",194,1,261
"월","08시-10시","3월",251,1,324
"월","08시-10시","4월",271,1,395
"월","08시-10시","5월",401,7,545
"월","08시-10시","6월",268,2,382
"월","08시-10시","7월",318,2,433
"월","08시-10시","8월",279,6,393
"월","08시-10시","9월",248,2,363
"월","08시-10시","10월",322,5,465
"월","08시-10시","11월",302,6,405
"월","08시-10시","12월",262,1,387
"월","10시-12시","전체",2917,47,4162
"월","10시-12시","1월",258,2,378
"월","10시-12시","2월",210,0,315
"월","10시-12시","3월",201,3,276
"월","10시-12시","4월",237,4,319
"월","10시-12시","5월",308,5,406
"월","10시-12시","6월",208,5,314
"월","10시-12시","7월",272,1,391
"월","10시-12시","8월",272,2,414
"월","10시-12시","9월",197,5,278
"월","10시-12시","10월",306,5,461
"월","10시-12시","11월",233,8,310
"월","10시-12시","12월",215,7,300
"월","12시-14시","전체",3049,22,4308
"월","12시-14시","1월",278,2,408
"월","12시-14시","2월",220,1,297
"월","12시-14시","3월",193,0,254
"월","12시-14시","4월",243,3,326
"월","12시-14시","5월",327,6,445
"월","12시-14시","6월",244,3,353
"월","12시-14시","7월",266,1,359
"월","12시-14시","8월",314,1,467
"월","12시-14시","9월",207,2,314
"월","12시-14시","10월",335,1,498
"월","12시-14시","11월",215,1,303
"월","12시-14시","12월",207,1,284
"월","14시-16시","전체",3318,33,4780
"월","14시-16시","1월",310,4,444
"월","14시-16시","2월",248,3,366
"월","14시-16시","3월",194,3,274
"월","14시-16시","4월",300,2,422
"월","14시-16시","5월",352,5,463
"월","14시-16시","6월",270,3,394
"월","14시-16시","7월",251,1,354
"월","14시-16시","8월",287,4,476
"월","14시-16시","9월",237,4,349
"월","14시-16시","10월",354,2,527
"월","14시-16시","11월",269,0,369
"월","14시-16시","12월",246,2,342
"월","16시-18시","전체",3729,40,5250
"월","16시-18시","1월",290,3,400
"월","16시-18시","2월",242,5,332
"월","16시-18시","3월",208,0,279
"월","16시-18시","4월",302,0,425
"월","16시-18시","5월",438,6,603
"월","16시-18시","6월",293,4,393
"월","16시-18시","7월",327,2,482
"월","16시-18시","8월",338,3,495
"월","16시-18시","9월",276,4,388
"월","16시-18시","10월",370,5,576
"월","16시-18시","11월",355,6,479
"월","16시-18시","12월",290,2,398
"월","18시-20시","전체",3846,41,5238
"월","18시-20시","1월",387,9,547
"월","18시-20시","2월",273,3,369
"월","18시-20시","3월",240,3,314
"월","18시-20시","4월",277,2,397
"월","18시-20시","5월",332,4,434
"월","18시-20시","6월",240,2,335
"월","18시-20시","7월",289,0,385
"월","18시-20시","8월",322,7,427
